Level,Move,Type,Cat.,Pwr.,Acc.,PP,Pokemon Name
,Defense Curl,Normal,Status,—,—%,40.0,Cyndaquil
,Swift,Normal,Special,60,—%,20.0,Cyndaquil
,Lava Plume,Fire,Special,80,100%,15.0,Cyndaquil
,Flamethrower,Fire,Special,95,100%,15.0,Cyndaquil
,Rollout,Rock,Physical,30,90%,20.0,Cyndaquil
,Double-Edge,Normal,Physical,120,100%,15.0,Cyndaquil
,Eruption,Fire,Special,150,100%,5.0,Cyndaquil
,Tackle,Normal,Physical,35,95%,35.0,Quilava
,Leer,Normal,Status,—,100%,30.0,Quilava
,SmokeScreen,Normal,Status,—,100%,20.0,Quilava
,SmokeScreen,Normal,Status,—,100%,20.0,Quilava
,Ember,Fire,Special,40,100%,25.0,Quilava
,Quick Attack,Normal,Physical,40,100%,30.0,Quilava
,Flame Wheel,Fire,Physical,60,100%,25.0,Quilava
,Defense Curl,Normal,Status,—,—%,40.0,Quilava
,Swift,Normal,Special,60,—%,20.0,Quilava
,Lava Plume,Fire,Special,80,100%,15.0,Quilava
,Flamethrower,Fire,Special,95,100%,15.0,Quilava
,Rollout,Rock,Physical,30,90%,20.0,Quilava
,Double-Edge,Normal,Physical,120,100%,15.0,Quilava
,Eruption,Fire,Special,150,100%,5.0,Quilava
,Gyro Ball,Steel,Physical,—,100%,5.0,Typhlosion
,Tackle,Normal,Physical,35,95%,35.0,Typhlosion
,Leer,Normal,Status,—,100%,30.0,Typhlosion
,SmokeScreen,Normal,Status,—,100%,20.0,Typhlosion
,Ember,Fire,Special,40,100%,25.0,Typhlosion
,SmokeScreen,Normal,Status,—,100%,20.0,Typhlosion
,Ember,Fire,Special,40,100%,25.0,Typhlosion
,Quick Attack,Normal,Physical,40,100%,30.0,Typhlosion
,Flame Wheel,Fire,Physical,60,100%,25.0,Typhlosion
,Defense Curl,Normal,Status,—,—%,40.0,Typhlosion
,Swift,Normal,Special,60,—%,20.0,Typhlosion
,Lava Plume,Fire,Special,80,100%,15.0,Typhlosion
,Flamethrower,Fire,Special,95,100%,15.0,Typhlosion
,Rollout,Rock,Physical,30,90%,20.0,Typhlosion
,Double-Edge,Normal,Physical,120,100%,15.0,Typhlosion
,Eruption,Fire,Special,150,100%,5.0,Typhlosion
,Scratch,Normal,Physical,40,100%,35.0,Totodile
,Leer,Normal,Status,—,100%,30.0,Totodile
,Water Gun,Water,Special,40,100%,25.0,Totodile
,Rage,Normal,Physical,20,100%,20.0,Totodile
,Bite,Dark,Physical,60,100%,25.0,Totodile
,Scary Face,Normal,Status,—,90%,10.0,Totodile
,Ice Fang,Ice,Physical,65,95%,15.0,Totodile
,Thrash,Normal,Physical,90,100%,20.0,Totodile
,Flail,Normal,Physical,—,100%,15.0,Totodile
,Crunch,Dark,Physical,80,100%,15.0,Totodile
,Slash,Normal,Physical,70,100%,20.0,Totodile
,Screech,Normal,Status,—,85%,40.0,Totodile
,Aqua Tail,Water,Physical,90,90%,10.0,Totodile
,Superpower,Fighting,Physical,120,100%,5.0,Totodile
,Hydro Pump,Water,Special,120,80%,5.0,Totodile
,Scratch,Normal,Physical,40,100%,35.0,Croconaw
,Leer,Normal,Status,—,100%,30.0,Croconaw
,Water Gun,Water,Special,40,100%,25.0,Croconaw
,Water Gun,Water,Special,40,100%,25.0,Croconaw
,Rage,Normal,Physical,20,100%,20.0,Croconaw
,Bite,Dark,Physical,60,100%,25.0,Croconaw
,Scary Face,Normal,Status,—,90%,10.0,Croconaw
,Ice Fang,Ice,Physical,65,95%,15.0,Croconaw
,Thrash,Normal,Physical,90,100%,20.0,Croconaw
,Flail,Normal,Physical,—,100%,15.0,Croconaw
,Crunch,Dark,Physical,80,100%,15.0,Croconaw
,Slash,Normal,Physical,70,100%,20.0,Croconaw
,Screech,Normal,Status,—,85%,40.0,Croconaw
,Aqua Tail,Water,Physical,90,90%,10.0,Croconaw
,Superpower,Fighting,Physical,120,100%,5.0,Croconaw
,Hydro Pump,Water,Special,120,80%,5.0,Croconaw
,Scratch,Normal,Physical,40,100%,35.0,Feraligatr
,Leer,Normal,Status,—,100%,30.0,Feraligatr
,Water Gun,Water,Special,40,100%,25.0,Feraligatr
,Rage,Normal,Physical,20,100%,20.0,Feraligatr
,Water Gun,Water,Special,40,100%,25.0,Feraligatr
,Rage,Normal,Physical,20,100%,20.0,Feraligatr
,Bite,Dark,Physical,60,100%,25.0,Feraligatr
,Scary Face,Normal,Status,—,90%,10.0,Feraligatr
,Ice Fang,Ice,Physical,65,95%,15.0,Feraligatr
,Thrash,Normal,Physical,90,100%,20.0,Feraligatr
,Flail,Normal,Physical,—,100%,15.0,Feraligatr
,Agility,Psychic,Status,—,—%,30.0,Feraligatr
,Crunch,Dark,Physical,80,100%,15.0,Feraligatr
,Slash,Normal,Physical,70,100%,20.0,Feraligatr
,Screech,Normal,Status,—,85%,40.0,Feraligatr
,Aqua Tail,Water,Physical,90,90%,10.0,Feraligatr
,Superpower,Fighting,Physical,120,100%,5.0,Feraligatr
,Hydro Pump,Water,Special,120,80%,5.0,Feraligatr
1.0,Tackle,Normal,Physical,35,95%,35.0,Pidgey
5.0,Sand-Attack,Ground,Status,—,100%,15.0,Pidgey
9.0,Gust,Flying,Special,40,100%,35.0,Pidgey
13.0,Quick Attack,Normal,Physical,40,100%,30.0,Pidgey
17.0,Whirlwind,Normal,Status,—,100%,20.0,Pidgey
21.0,Twister,Dragon,Special,40,100%,20.0,Pidgey
25.0,FeatherDance,Flying,Status,—,100%,15.0,Pidgey
29.0,Agility,Psychic,Status,—,—%,30.0,Pidgey
33.0,Wing Attack,Flying,Physical,60,100%,35.0,Pidgey
37.0,Roost,Flying,Status,—,—%,10.0,Pidgey
41.0,Tailwind,Flying,Status,—,—%,30.0,Pidgey
45.0,Mirror Move,Flying,Status,—,—%,20.0,Pidgey
49.0,Air Slash,Flying,Special,75,95%,20.0,Pidgey
1.0,Tackle,Normal,Physical,35,95%,35.0,Pidgeotto
1.0,Sand-Attack,Ground,Status,—,100%,15.0,Pidgeotto
1.0,Gust,Flying,Special,40,100%,35.0,Pidgeotto
5.0,Sand-Attack,Ground,Status,—,100%,15.0,Pidgeotto
9.0,Gust,Flying,Special,40,100%,35.0,Pidgeotto
13.0,Quick Attack,Normal,Physical,40,100%,30.0,Pidgeotto
17.0,Whirlwind,Normal,Status,—,100%,20.0,Pidgeotto
22.0,Twister,Dragon,Special,40,100%,20.0,Pidgeotto
27.0,FeatherDance,Flying,Status,—,100%,15.0,Pidgeotto
32.0,Agility,Psychic,Status,—,—%,30.0,Pidgeotto
37.0,Wing Attack,Flying,Physical,60,100%,35.0,Pidgeotto
42.0,Roost,Flying,Status,—,—%,10.0,Pidgeotto
47.0,Tailwind,Flying,Status,—,—%,30.0,Pidgeotto
52.0,Mirror Move,Flying,Status,—,—%,20.0,Pidgeotto
57.0,Air Slash,Flying,Special,75,95%,20.0,Pidgeotto
1.0,Tackle,Normal,Physical,35,95%,35.0,Pidgeot
1.0,Sand-Attack,Ground,Status,—,100%,15.0,Pidgeot
1.0,Gust,Flying,Special,40,100%,35.0,Pidgeot
1.0,Quick Attack,Normal,Physical,40,100%,30.0,Pidgeot
5.0,Sand-Attack,Ground,Status,—,100%,15.0,Pidgeot
9.0,Gust,Flying,Special,40,100%,35.0,Pidgeot
13.0,Quick Attack,Normal,Physical,40,100%,30.0,Pidgeot
17.0,Whirlwind,Normal,Status,—,100%,20.0,Pidgeot
22.0,Twister,Dragon,Special,40,100%,20.0,Pidgeot
27.0,FeatherDance,Flying,Status,—,100%,15.0,Pidgeot
32.0,Agility,Psychic,Status,—,—%,30.0,Pidgeot
38.0,Wing Attack,Flying,Physical,60,100%,35.0,Pidgeot
44.0,Roost,Flying,Status,—,—%,10.0,Pidgeot
50.0,Tailwind,Flying,Status,—,—%,30.0,Pidgeot
56.0,Mirror Move,Flying,Status,—,—%,20.0,Pidgeot
62.0,Air Slash,Flying,Special,75,95%,20.0,Pidgeot
1.0,Peck,Flying,Physical,35,100%,35.0,Spearow
1.0,Growl,Normal,Status,—,100%,40.0,Spearow
5.0,Leer,Normal,Status,—,100%,30.0,Spearow
9.0,Fury Attack,Normal,Physical,15,85%,20.0,Spearow
13.0,Pursuit,Dark,Physical,40,100%,20.0,Spearow
17.0,Aerial Ace,Flying,Physical,60,—%,20.0,Spearow
21.0,Mirror Move,Flying,Status,—,—%,20.0,Spearow
25.0,Agility,Psychic,Status,—,—%,30.0,Spearow
29.0,Assurance,Dark,Physical,50,100%,10.0,Spearow
33.0,Roost,Flying,Status,—,—%,10.0,Spearow
37.0,Drill Peck,Flying,Physical,80,100%,20.0,Spearow
1.0,Pluck,Flying,Physical,60,100%,20.0,Fearow
1.0,Peck,Flying,Physical,35,100%,35.0,Fearow
1.0,Growl,Normal,Status,—,100%,40.0,Fearow
1.0,Leer,Normal,Status,—,100%,30.0,Fearow
1.0,Fury Attack,Normal,Physical,15,85%,20.0,Fearow
5.0,Leer,Normal,Status,—,100%,30.0,Fearow
9.0,Fury Attack,Normal,Physical,15,85%,20.0,Fearow
13.0,Pursuit,Dark,Physical,40,100%,20.0,Fearow
17.0,Aerial Ace,Flying,Physical,60,—%,20.0,Fearow
23.0,Mirror Move,Flying,Status,—,—%,20.0,Fearow
29.0,Agility,Psychic,Status,—,—%,30.0,Fearow
35.0,Assurance,Dark,Physical,50,100%,10.0,Fearow
41.0,Roost,Flying,Status,—,—%,10.0,Fearow
47.0,Drill Peck,Flying,Physical,80,100%,20.0,Fearow
,Tackle,Normal,Physical,35,95%,35.0,Hoothoot
,Growl,Normal,Status,—,100%,40.0,Hoothoot
,Foresight,Normal,Status,—,—%,40.0,Hoothoot
,Hypnosis,Psychic,Status,—,60%,20.0,Hoothoot
,Peck,Flying,Physical,35,100%,35.0,Hoothoot
,Uproar,Normal,Special,50,100%,10.0,Hoothoot
,Reflect,Psychic,Status,—,—%,20.0,Hoothoot
,Confusion,Psychic,Special,50,100%,25.0,Hoothoot
,Take Down,Normal,Physical,90,85%,20.0,Hoothoot
,Air Slash,Flying,Special,75,95%,20.0,Hoothoot
,Zen Headbutt,Psychic,Physical,80,90%,15.0,Hoothoot
,Extrasensory,Psychic,Special,80,100%,30.0,Hoothoot
,Psycho Shift,Psychic,Status,—,90%,10.0,Hoothoot
,Roost,Flying,Status,—,—%,10.0,Hoothoot
,Dream Eater,Psychic,Special,100,100%,15.0,Hoothoot
,Sky Attack,Flying,Physical,140,90%,5.0,Noctowl
,Tackle,Normal,Physical,35,95%,35.0,Noctowl
,Growl,Normal,Status,—,100%,40.0,Noctowl
,Foresight,Normal,Status,—,—%,40.0,Noctowl
,Hypnosis,Psychic,Status,—,60%,20.0,Noctowl
,Foresight,Normal,Status,—,—%,40.0,Noctowl
,Hypnosis,Psychic,Status,—,60%,20.0,Noctowl
,Peck,Flying,Physical,35,100%,35.0,Noctowl
,Uproar,Normal,Special,50,100%,10.0,Noctowl
,Reflect,Psychic,Status,—,—%,20.0,Noctowl
,Confusion,Psychic,Special,50,100%,25.0,Noctowl
,Take Down,Normal,Physical,90,85%,20.0,Noctowl
,Air Slash,Flying,Special,75,95%,20.0,Noctowl
,Zen Headbutt,Psychic,Physical,80,90%,15.0,Noctowl
,Extrasensory,Psychic,Special,80,100%,30.0,Noctowl
,Psycho Shift,Psychic,Status,—,90%,10.0,Noctowl
,Roost,Flying,Status,—,—%,10.0,Noctowl
,Dream Eater,Psychic,Special,100,100%,15.0,Noctowl
1.0,Tackle,Normal,Physical,35,95%,35.0,Rattata
1.0,Tail Whip,Normal,Status,—,100%,30.0,Rattata
4.0,Quick Attack,Normal,Physical,40,100%,30.0,Rattata
7.0,Focus Energy,Normal,Status,—,—%,30.0,Rattata
10.0,Bite,Dark,Physical,60,100%,25.0,Rattata
13.0,Pursuit,Dark,Physical,40,100%,20.0,Rattata
16.0,Hyper Fang,Normal,Physical,80,90%,15.0,Rattata
19.0,Sucker Punch,Dark,Physical,80,100%,5.0,Rattata
22.0,Crunch,Dark,Physical,80,100%,15.0,Rattata
25.0,Assurance,Dark,Physical,50,100%,10.0,Rattata
28.0,Super Fang,Normal,Physical,—,90%,10.0,Rattata
31.0,Double-Edge,Normal,Physical,120,100%,15.0,Rattata
34.0,Endeavor,Normal,Physical,—,100%,5.0,Rattata
1.0,Swords Dance,Normal,Status,—,—%,30.0,Raticate
1.0,Tackle,Normal,Physical,35,95%,35.0,Raticate
1.0,Tail Whip,Normal,Status,—,100%,30.0,Raticate
1.0,Quick Attack,Normal,Physical,40,100%,30.0,Raticate
1.0,Focus Energy,Normal,Status,—,—%,30.0,Raticate
4.0,Quick Attack,Normal,Physical,40,100%,30.0,Raticate
7.0,Focus Energy,Normal,Status,—,—%,30.0,Raticate
10.0,Bite,Dark,Physical,60,100%,25.0,Raticate
13.0,Pursuit,Dark,Physical,40,100%,20.0,Raticate
16.0,Hyper Fang,Normal,Physical,80,90%,15.0,Raticate
19.0,Sucker Punch,Dark,Physical,80,100%,5.0,Raticate
20.0,Scary Face,Normal,Status,—,90%,10.0,Raticate
24.0,Crunch,Dark,Physical,80,100%,15.0,Raticate
29.0,Assurance,Dark,Physical,50,100%,10.0,Raticate
34.0,Super Fang,Normal,Physical,—,90%,10.0,Raticate
39.0,Double-Edge,Normal,Physical,120,100%,15.0,Raticate
44.0,Endeavor,Normal,Physical,—,100%,5.0,Raticate
1.0,Scratch,Normal,Physical,40,100%,35.0,Sentret
1.0,Foresight,Normal,Status,—,—%,40.0,Sentret
4.0,Defense Curl,Normal,Status,—,—%,40.0,Sentret
7.0,Quick Attack,Normal,Physical,40,100%,30.0,Sentret
13.0,Fury Swipes,Normal,Physical,18,80%,15.0,Sentret
16.0,Helping Hand,Normal,Status,—,—%,20.0,Sentret
19.0,Follow Me,Normal,Status,—,—%,20.0,Sentret
25.0,Slam,Normal,Physical,80,75%,20.0,Sentret
28.0,Rest,Psychic,Status,—,—%,10.0,Sentret
31.0,Sucker Punch,Dark,Physical,80,100%,5.0,Sentret
36.0,Amnesia,Psychic,Status,—,—%,20.0,Sentret
39.0,Baton Pass,Normal,Status,—,—%,40.0,Sentret
42.0,Me First,Normal,Status,—,—%,20.0,Sentret
47.0,Hyper Voice,Normal,Special,90,100%,10.0,Sentret
1.0,Scratch,Normal,Physical,40,100%,35.0,Furret
1.0,Foresight,Normal,Status,—,—%,40.0,Furret
1.0,Defense Curl,Normal,Status,—,—%,40.0,Furret
1.0,Quick Attack,Normal,Physical,40,100%,30.0,Furret
4.0,Defense Curl,Normal,Status,—,—%,40.0,Furret
7.0,Quick Attack,Normal,Physical,40,100%,30.0,Furret
13.0,Fury Swipes,Normal,Physical,18,80%,15.0,Furret
17.0,Helping Hand,Normal,Status,—,—%,20.0,Furret
21.0,Follow Me,Normal,Status,—,—%,20.0,Furret
28.0,Slam,Normal,Physical,80,75%,20.0,Furret
32.0,Rest,Psychic,Status,—,—%,10.0,Furret
36.0,Sucker Punch,Dark,Physical,80,100%,5.0,Furret
42.0,Amnesia,Psychic,Status,—,—%,20.0,Furret
46.0,Baton Pass,Normal,Status,—,—%,40.0,Furret
50.0,Me First,Normal,Status,—,—%,20.0,Furret
56.0,Hyper Voice,Normal,Special,90,100%,10.0,Furret
1.0,ThunderShock,Electric,Special,40,100%,30.0,Pichu
1.0,Charm,Normal,Status,—,100%,20.0,Pichu
5.0,Tail Whip,Normal,Status,—,100%,30.0,Pichu
10.0,Thunder Wave,Electric,Status,—,100%,20.0,Pichu
13.0,Sweet Kiss,Normal,Status,—,75%,10.0,Pichu
18.0,Nasty Plot,Dark,Status,—,—%,20.0,Pichu
1.0,ThunderShock,Electric,Special,40,100%,30.0,Pikachu
1.0,Growl,Normal,Status,—,100%,40.0,Pikachu
5.0,Tail Whip,Normal,Status,—,100%,30.0,Pikachu
10.0,Thunder Wave,Electric,Status,—,100%,20.0,Pikachu
13.0,Quick Attack,Normal,Physical,40,100%,30.0,Pikachu
18.0,Double Team,Normal,Status,—,—%,15.0,Pikachu
21.0,Slam,Normal,Physical,80,75%,20.0,Pikachu
26.0,Thunderbolt,Electric,Special,95,100%,15.0,Pikachu
29.0,Feint,Normal,Physical,50,100%,10.0,Pikachu
34.0,Agility,Psychic,Status,—,—%,30.0,Pikachu
37.0,Discharge,Electric,Special,80,100%,15.0,Pikachu
42.0,Light Screen,Psychic,Status,—,—%,30.0,Pikachu
45.0,Thunder,Electric,Special,120,70%,10.0,Pikachu
1.0,ThunderShock,Electric,Special,40,100%,30.0,Raichu
1.0,Tail Whip,Normal,Status,—,100%,30.0,Raichu
1.0,Quick Attack,Normal,Physical,40,100%,30.0,Raichu
1.0,Thunderbolt,Electric,Special,95,100%,15.0,Raichu
,Tackle,Normal,Physical,35,95%,35.0,Caterpie
,String Shot,Bug,Status,—,95%,40.0,Caterpie
,Bug Bite,Bug,Physical,60,100%,20.0,Caterpie
1.0,Harden,Normal,Status,—,—%,30.0,Metapod
7.0,Harden,Normal,Status,—,—%,30.0,Metapod
1.0,Confusion,Psychic,Special,50,100%,25.0,Butterfree
10.0,Confusion,Psychic,Special,50,100%,25.0,Butterfree
12.0,PoisonPowder,Poison,Status,—,75%,35.0,Butterfree
12.0,Stun Spore,Grass,Status,—,75%,30.0,Butterfree
12.0,Sleep Powder,Grass,Status,—,75%,15.0,Butterfree
16.0,Gust,Flying,Special,40,100%,35.0,Butterfree
18.0,Supersonic,Normal,Status,—,55%,20.0,Butterfree
22.0,Whirlwind,Normal,Status,—,100%,20.0,Butterfree
24.0,Psybeam,Psychic,Special,65,100%,20.0,Butterfree
28.0,Silver Wind,Bug,Special,60,100%,5.0,Butterfree
30.0,Tailwind,Flying,Status,—,—%,30.0,Butterfree
34.0,Safeguard,Normal,Status,—,—%,25.0,Butterfree
36.0,Captivate,Normal,Status,—,100%,20.0,Butterfree
40.0,Bug Buzz,Bug,Special,90,100%,10.0,Butterfree
,Poison Sting,Poison,Physical,15,100%,35.0,Weedle
,String Shot,Bug,Status,—,95%,40.0,Weedle
,Bug Bite,Bug,Physical,60,100%,20.0,Weedle
1.0,Harden,Normal,Status,—,—%,30.0,Kakuna
7.0,Harden,Normal,Status,—,—%,30.0,Kakuna
1.0,Fury Attack,Normal,Physical,15,85%,20.0,Beedrill
10.0,Fury Attack,Normal,Physical,15,85%,20.0,Beedrill
13.0,Focus Energy,Normal,Status,—,—%,30.0,Beedrill
16.0,Twineedle,Bug,Physical,25,100%,20.0,Beedrill
19.0,Rage,Normal,Physical,20,100%,20.0,Beedrill
22.0,Pursuit,Dark,Physical,40,100%,20.0,Beedrill
25.0,Toxic Spikes,Poison,Status,—,—%,20.0,Beedrill
28.0,Pin Missile,Bug,Physical,14,85%,20.0,Beedrill
31.0,Agility,Psychic,Status,—,—%,30.0,Beedrill
34.0,Assurance,Dark,Physical,50,100%,10.0,Beedrill
37.0,Poison Jab,Poison,Physical,80,100%,20.0,Beedrill
40.0,Endeavor,Normal,Physical,—,100%,5.0,Beedrill
1.0,Tackle,Normal,Physical,35,95%,35.0,Ledyba
6.0,Supersonic,Normal,Status,—,55%,20.0,Ledyba
9.0,Comet Punch,Normal,Physical,18,85%,15.0,Ledyba
14.0,Light Screen,Psychic,Status,—,—%,30.0,Ledyba
14.0,Reflect,Psychic,Status,—,—%,20.0,Ledyba
14.0,Safeguard,Normal,Status,—,—%,25.0,Ledyba
17.0,Mach Punch,Fighting,Physical,40,100%,30.0,Ledyba
22.0,Baton Pass,Normal,Status,—,—%,40.0,Ledyba
25.0,Silver Wind,Bug,Special,60,100%,5.0,Ledyba
30.0,Agility,Psychic,Status,—,—%,30.0,Ledyba
33.0,Swift,Normal,Special,60,—%,20.0,Ledyba
38.0,Double-Edge,Normal,Physical,120,100%,15.0,Ledyba
41.0,Bug Buzz,Bug,Special,90,100%,10.0,Ledyba
1.0,Tackle,Normal,Physical,35,95%,35.0,Ledian
1.0,Supersonic,Normal,Status,—,55%,20.0,Ledian
1.0,Comet Punch,Normal,Physical,18,85%,15.0,Ledian
6.0,Supersonic,Normal,Status,—,55%,20.0,Ledian
9.0,Comet Punch,Normal,Physical,18,85%,15.0,Ledian
14.0,Light Screen,Psychic,Status,—,—%,30.0,Ledian
14.0,Reflect,Psychic,Status,—,—%,20.0,Ledian
14.0,Safeguard,Normal,Status,—,—%,25.0,Ledian
17.0,Mach Punch,Fighting,Physical,40,100%,30.0,Ledian
24.0,Baton Pass,Normal,Status,—,—%,40.0,Ledian
29.0,Silver Wind,Bug,Special,60,100%,5.0,Ledian
36.0,Agility,Psychic,Status,—,—%,30.0,Ledian
41.0,Swift,Normal,Special,60,—%,20.0,Ledian
48.0,Double-Edge,Normal,Physical,120,100%,15.0,Ledian
53.0,Bug Buzz,Bug,Special,90,100%,10.0,Ledian
1.0,Poison Sting,Poison,Physical,15,100%,35.0,Spinarak
1.0,String Shot,Bug,Status,—,95%,40.0,Spinarak
5.0,Scary Face,Normal,Status,—,90%,10.0,Spinarak
8.0,Constrict,Normal,Physical,10,100%,35.0,Spinarak
12.0,Leech Life,Bug,Physical,20,100%,15.0,Spinarak
15.0,Night Shade,Ghost,Special,—,100%,15.0,Spinarak
19.0,Shadow Sneak,Ghost,Physical,40,100%,30.0,Spinarak
22.0,Fury Swipes,Normal,Physical,18,80%,15.0,Spinarak
26.0,Sucker Punch,Dark,Physical,80,100%,5.0,Spinarak
29.0,Spider Web,Bug,Status,—,—%,10.0,Spinarak
33.0,Agility,Psychic,Status,—,—%,30.0,Spinarak
36.0,Pin Missile,Bug,Physical,14,85%,20.0,Spinarak
40.0,Psychic,Psychic,Special,90,100%,10.0,Spinarak
43.0,Poison Jab,Poison,Physical,80,100%,20.0,Spinarak
1.0,Bug Bite,Bug,Physical,60,100%,20.0,Ariados
1.0,Poison Sting,Poison,Physical,15,100%,35.0,Ariados
1.0,String Shot,Bug,Status,—,95%,40.0,Ariados
1.0,Scary Face,Normal,Status,—,90%,10.0,Ariados
1.0,Constrict,Normal,Physical,10,100%,35.0,Ariados
5.0,Scary Face,Normal,Status,—,90%,10.0,Ariados
8.0,Constrict,Normal,Physical,10,100%,35.0,Ariados
12.0,Leech Life,Bug,Physical,20,100%,15.0,Ariados
15.0,Night Shade,Ghost,Special,—,100%,15.0,Ariados
19.0,Shadow Sneak,Ghost,Physical,40,100%,30.0,Ariados
23.0,Fury Swipes,Normal,Physical,18,80%,15.0,Ariados
28.0,Sucker Punch,Dark,Physical,80,100%,5.0,Ariados
32.0,Spider Web,Bug,Status,—,—%,10.0,Ariados
37.0,Agility,Psychic,Status,—,—%,30.0,Ariados
41.0,Pin Missile,Bug,Physical,14,85%,20.0,Ariados
46.0,Psychic,Psychic,Special,90,100%,10.0,Ariados
50.0,Poison Jab,Poison,Physical,80,100%,20.0,Ariados
1.0,Tackle,Normal,Physical,35,95%,35.0,Geodude
1.0,Defense Curl,Normal,Status,—,—%,40.0,Geodude
4.0,Mud Sport,Ground,Status,—,—%,15.0,Geodude
8.0,Rock Polish,Rock,Status,—,—%,20.0,Geodude
11.0,Rock Throw,Rock,Physical,50,90%,15.0,Geodude
15.0,Magnitude,Ground,Physical,—,100%,30.0,Geodude
18.0,Selfdestruct,Normal,Physical,200,100%,5.0,Geodude
22.0,Rollout,Rock,Physical,30,90%,20.0,Geodude
25.0,Rock Blast,Rock,Physical,25,80%,10.0,Geodude
29.0,Earthquake,Ground,Physical,100,100%,10.0,Geodude
32.0,Explosion,Normal,Physical,250,100%,5.0,Geodude
36.0,Double-Edge,Normal,Physical,120,100%,15.0,Geodude
39.0,Stone Edge,Rock,Physical,100,80%,5.0,Geodude
1.0,Tackle,Normal,Physical,35,95%,35.0,Graveler
1.0,Defense Curl,Normal,Status,—,—%,40.0,Graveler
1.0,Mud Sport,Ground,Status,—,—%,15.0,Graveler
1.0,Rock Polish,Rock,Status,—,—%,20.0,Graveler
4.0,Mud Sport,Ground,Status,—,—%,15.0,Graveler
8.0,Rock Polish,Rock,Status,—,—%,20.0,Graveler
11.0,Rock Throw,Rock,Physical,50,90%,15.0,Graveler
15.0,Magnitude,Ground,Physical,—,100%,30.0,Graveler
18.0,Selfdestruct,Normal,Physical,200,100%,5.0,Graveler
22.0,Rollout,Rock,Physical,30,90%,20.0,Graveler
