Move,Type,Cat.,Pwr.,Acc.,PP,S. Contest,Appeal,Pokemon Name,level
Body Slam,Normal,Physical,85,100%,15,Tough,3 ♥♥♥,Bayleef,40
Safeguard,Normal,Status,—,—%,25,Beauty,2 ♥♥,Bayleef,46
Aromatherapy,Grass,Status,—,—%,5,Smart,0,Bayleef,50
SolarBeam,Grass,Special,120,100%,10,Cool,1 ♥,Bayleef,54
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Meganium,1
Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,Meganium,1
Razor Leaf,Grass,Physical,55,95%,25,Cool,3 ♥♥♥,Meganium,1
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Meganium,1
Razor Leaf,Grass,Physical,55,95%,25,Cool,3 ♥♥♥,Meganium,6
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Meganium,9
Synthesis,Grass,Status,—,—%,5,Smart,0,Meganium,12
Reflect,Psychic,Status,—,—%,20,Smart,2 ♥♥,Meganium,18
Magical Leaf,Grass,Special,60,—%,20,Beauty,2 ♥♥,Meganium,22
Natural Gift,Normal,Physical,—,100%,15,Cool,2 ♥♥,Meganium,26
Petal Dance,Grass,Special,90,100%,20,Beauty,0,Meganium,32
Sweet Scent,Normal,Status,—,100%,20,Cute,2 ♥♥,Meganium,34
Light Screen,Psychic,Status,—,—%,30,Beauty,2 ♥♥,Meganium,40
Body Slam,Normal,Physical,85,100%,15,Tough,3 ♥♥♥,Meganium,46
Safeguard,Normal,Status,—,—%,25,Beauty,2 ♥♥,Meganium,54
Aromatherapy,Grass,Status,—,—%,5,Smart,0,Meganium,60
SolarBeam,Grass,Special,120,100%,10,Cool,1 ♥,Meganium,66
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Cyndaquil,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Cyndaquil,1
SmokeScreen,Normal,Status,—,100%,20,Smart,2 ♥♥,Cyndaquil,6
Ember,Fire,Special,40,100%,25,Beauty,3 ♥♥♥,Cyndaquil,10
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Cyndaquil,13
Flame Wheel,Fire,Physical,60,100%,25,Beauty,2 ♥♥,Cyndaquil,19
Defense Curl,Normal,Status,—,—%,40,Cute,2 ♥♥,Cyndaquil,22
Swift,Normal,Special,60,—%,20,Cool,2 ♥♥,Cyndaquil,28
Lava Plume,Fire,Special,80,100%,15,Tough,2 ♥♥,Cyndaquil,31
Flamethrower,Fire,Special,95,100%,15,Beauty,2 ♥♥,Cyndaquil,37
Rollout,Rock,Physical,30,90%,20,Tough,2 ♥♥,Cyndaquil,40
Double-Edge,Normal,Physical,120,100%,15,Tough,0,Cyndaquil,46
Eruption,Fire,Special,150,100%,5,Beauty,2 ♥♥,Cyndaquil,49
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Quilava,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Quilava,1
SmokeScreen,Normal,Status,—,100%,20,Smart,2 ♥♥,Quilava,1
SmokeScreen,Normal,Status,—,100%,20,Smart,2 ♥♥,Quilava,6
Ember,Fire,Special,40,100%,25,Beauty,3 ♥♥♥,Quilava,10
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Quilava,13
Flame Wheel,Fire,Physical,60,100%,25,Beauty,2 ♥♥,Quilava,20
Defense Curl,Normal,Status,—,—%,40,Cute,2 ♥♥,Quilava,24
Swift,Normal,Special,60,—%,20,Cool,2 ♥♥,Quilava,31
Lava Plume,Fire,Special,80,100%,15,Tough,2 ♥♥,Quilava,35
Flamethrower,Fire,Special,95,100%,15,Beauty,2 ♥♥,Quilava,42
Rollout,Rock,Physical,30,90%,20,Tough,2 ♥♥,Quilava,46
Double-Edge,Normal,Physical,120,100%,15,Tough,0,Quilava,53
Eruption,Fire,Special,150,100%,5,Beauty,2 ♥♥,Quilava,57
Gyro Ball,Steel,Physical,—,100%,5,Beauty,2 ♥♥,Typhlosion,1
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Typhlosion,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Typhlosion,1
SmokeScreen,Normal,Status,—,100%,20,Smart,2 ♥♥,Typhlosion,1
Ember,Fire,Special,40,100%,25,Beauty,3 ♥♥♥,Typhlosion,1
SmokeScreen,Normal,Status,—,100%,20,Smart,2 ♥♥,Typhlosion,6
Ember,Fire,Special,40,100%,25,Beauty,3 ♥♥♥,Typhlosion,10
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Typhlosion,13
Flame Wheel,Fire,Physical,60,100%,25,Beauty,2 ♥♥,Typhlosion,20
Defense Curl,Normal,Status,—,—%,40,Cute,2 ♥♥,Typhlosion,24
Swift,Normal,Special,60,—%,20,Cool,2 ♥♥,Typhlosion,31
Lava Plume,Fire,Special,80,100%,15,Tough,2 ♥♥,Typhlosion,35
Flamethrower,Fire,Special,95,100%,15,Beauty,2 ♥♥,Typhlosion,42
Rollout,Rock,Physical,30,90%,20,Tough,2 ♥♥,Typhlosion,46
Double-Edge,Normal,Physical,120,100%,15,Tough,0,Typhlosion,53
Eruption,Fire,Special,150,100%,5,Beauty,2 ♥♥,Typhlosion,57
Scratch,Normal,Physical,40,100%,35,Tough,3 ♥♥♥,Totodile,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Totodile,1
Water Gun,Water,Special,40,100%,25,Cute,3 ♥♥♥,Totodile,6
Rage,Normal,Physical,20,100%,20,Cool,0,Totodile,8
Bite,Dark,Physical,60,100%,25,Tough,3 ♥♥♥,Totodile,13
Scary Face,Normal,Status,—,90%,10,Tough,2 ♥♥,Totodile,15
Ice Fang,Ice,Physical,65,95%,15,Cool,3 ♥♥♥,Totodile,20
Thrash,Normal,Physical,90,100%,20,Tough,2 ♥♥,Totodile,36
Flail,Normal,Physical,—,100%,15,Cute,2 ♥♥,Totodile,22
Crunch,Dark,Physical,80,100%,15,Tough,2 ♥♥,Totodile,27
Slash,Normal,Physical,70,100%,20,Cool,3 ♥♥♥,Totodile,29
Screech,Normal,Status,—,85%,40,Smart,2 ♥♥,Totodile,34
Aqua Tail,Water,Physical,90,90%,10,Cute,3 ♥♥♥,Totodile,41
Superpower,Fighting,Physical,120,100%,5,Tough,2 ♥♥,Totodile,43
Hydro Pump,Water,Special,120,80%,5,Beauty,2 ♥♥,Totodile,48
Scratch,Normal,Physical,40,100%,35,Tough,3 ♥♥♥,Croconaw,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Croconaw,1
Water Gun,Water,Special,40,100%,25,Cute,3 ♥♥♥,Croconaw,1
Water Gun,Water,Special,40,100%,25,Cute,3 ♥♥♥,Croconaw,6
Rage,Normal,Physical,20,100%,20,Cool,0,Croconaw,8
Bite,Dark,Physical,60,100%,25,Tough,3 ♥♥♥,Croconaw,13
Scary Face,Normal,Status,—,90%,10,Tough,2 ♥♥,Croconaw,15
Ice Fang,Ice,Physical,65,95%,15,Cool,3 ♥♥♥,Croconaw,21
Thrash,Normal,Physical,90,100%,20,Tough,2 ♥♥,Croconaw,42
Flail,Normal,Physical,—,100%,15,Cute,2 ♥♥,Croconaw,24
Crunch,Dark,Physical,80,100%,15,Tough,2 ♥♥,Croconaw,30
Slash,Normal,Physical,70,100%,20,Cool,3 ♥♥♥,Croconaw,33
Screech,Normal,Status,—,85%,40,Smart,2 ♥♥,Croconaw,39
Aqua Tail,Water,Physical,90,90%,10,Cute,3 ♥♥♥,Croconaw,48
Superpower,Fighting,Physical,120,100%,5,Tough,2 ♥♥,Croconaw,51
Hydro Pump,Water,Special,120,80%,5,Beauty,2 ♥♥,Croconaw,57
Scratch,Normal,Physical,40,100%,35,Tough,3 ♥♥♥,Feraligatr,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Feraligatr,1
Water Gun,Water,Special,40,100%,25,Cute,3 ♥♥♥,Feraligatr,1
Rage,Normal,Physical,20,100%,20,Cool,0,Feraligatr,1
Water Gun,Water,Special,40,100%,25,Cute,3 ♥♥♥,Feraligatr,6
Rage,Normal,Physical,20,100%,20,Cool,0,Feraligatr,8
Bite,Dark,Physical,60,100%,25,Tough,3 ♥♥♥,Feraligatr,13
Scary Face,Normal,Status,—,90%,10,Tough,2 ♥♥,Feraligatr,15
Ice Fang,Ice,Physical,65,95%,15,Cool,3 ♥♥♥,Feraligatr,21
Thrash,Normal,Physical,90,100%,20,Tough,2 ♥♥,Feraligatr,50
Flail,Normal,Physical,—,100%,15,Cute,2 ♥♥,Feraligatr,24
Agility,Psychic,Status,—,—%,30,Cool,2 ♥♥,Feraligatr,30
Crunch,Dark,Physical,80,100%,15,Tough,2 ♥♥,Feraligatr,32
Slash,Normal,Physical,70,100%,20,Cool,3 ♥♥♥,Feraligatr,37
Screech,Normal,Status,—,85%,40,Smart,2 ♥♥,Feraligatr,45
Aqua Tail,Water,Physical,90,90%,10,Cute,3 ♥♥♥,Feraligatr,58
Superpower,Fighting,Physical,120,100%,5,Tough,2 ♥♥,Feraligatr,63
Hydro Pump,Water,Special,120,80%,5,Beauty,2 ♥♥,Feraligatr,71
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Pidgey,1
Sand-Attack,Ground,Status,—,100%,15,Cute,2 ♥♥,Pidgey,5
Gust,Flying,Special,40,100%,35,Smart,3 ♥♥♥,Pidgey,9
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Pidgey,13
Whirlwind,Normal,Status,—,100%,20,Smart,0,Pidgey,17
Twister,Dragon,Special,40,100%,20,Cool,3 ♥♥♥,Pidgey,21
FeatherDance,Flying,Status,—,100%,15,Beauty,2 ♥♥,Pidgey,25
Agility,Psychic,Status,—,—%,30,Cool,2 ♥♥,Pidgey,29
Wing Attack,Flying,Physical,60,100%,35,Cool,3 ♥♥♥,Pidgey,33
Roost,Flying,Status,—,—%,10,Cool,0,Pidgey,37
Tailwind,Flying,Status,—,—%,30,Smart,2 ♥♥,Pidgey,41
Mirror Move,Flying,Status,—,—%,20,Smart,2 ♥♥,Pidgey,45
Air Slash,Flying,Special,75,95%,20,Cool,2 ♥♥,Pidgey,49
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Pidgeotto,1
Sand-Attack,Ground,Status,—,100%,15,Cute,2 ♥♥,Pidgeotto,1
Gust,Flying,Special,40,100%,35,Smart,3 ♥♥♥,Pidgeotto,1
Sand-Attack,Ground,Status,—,100%,15,Cute,2 ♥♥,Pidgeotto,5
Gust,Flying,Special,40,100%,35,Smart,3 ♥♥♥,Pidgeotto,9
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Pidgeotto,13
Whirlwind,Normal,Status,—,100%,20,Smart,0,Pidgeotto,17
Twister,Dragon,Special,40,100%,20,Cool,3 ♥♥♥,Pidgeotto,22
FeatherDance,Flying,Status,—,100%,15,Beauty,2 ♥♥,Pidgeotto,27
Agility,Psychic,Status,—,—%,30,Cool,2 ♥♥,Pidgeotto,32
Wing Attack,Flying,Physical,60,100%,35,Cool,3 ♥♥♥,Pidgeotto,37
Roost,Flying,Status,—,—%,10,Cool,0,Pidgeotto,42
Tailwind,Flying,Status,—,—%,30,Smart,2 ♥♥,Pidgeotto,47
Mirror Move,Flying,Status,—,—%,20,Smart,2 ♥♥,Pidgeotto,52
Air Slash,Flying,Special,75,95%,20,Cool,2 ♥♥,Pidgeotto,57
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Pidgeot,1
Sand-Attack,Ground,Status,—,100%,15,Cute,2 ♥♥,Pidgeot,1
Gust,Flying,Special,40,100%,35,Smart,3 ♥♥♥,Pidgeot,1
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Pidgeot,1
Sand-Attack,Ground,Status,—,100%,15,Cute,2 ♥♥,Pidgeot,5
Gust,Flying,Special,40,100%,35,Smart,3 ♥♥♥,Pidgeot,9
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Pidgeot,13
Whirlwind,Normal,Status,—,100%,20,Smart,0,Pidgeot,17
Twister,Dragon,Special,40,100%,20,Cool,3 ♥♥♥,Pidgeot,22
FeatherDance,Flying,Status,—,100%,15,Beauty,2 ♥♥,Pidgeot,27
Agility,Psychic,Status,—,—%,30,Cool,2 ♥♥,Pidgeot,32
Wing Attack,Flying,Physical,60,100%,35,Cool,3 ♥♥♥,Pidgeot,38
Roost,Flying,Status,—,—%,10,Cool,0,Pidgeot,44
Tailwind,Flying,Status,—,—%,30,Smart,2 ♥♥,Pidgeot,50
Mirror Move,Flying,Status,—,—%,20,Smart,2 ♥♥,Pidgeot,56
Air Slash,Flying,Special,75,95%,20,Cool,2 ♥♥,Pidgeot,62
Peck,Flying,Physical,35,100%,35,Cool,3 ♥♥♥,Spearow,1
Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,Spearow,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Spearow,5
Fury Attack,Normal,Physical,15,85%,20,Cool,2 ♥♥,Spearow,9
Pursuit,Dark,Physical,40,100%,20,Smart,1 ♥,Spearow,13
Aerial Ace,Flying,Physical,60,—%,20,Cool,2 ♥♥,Spearow,17
Mirror Move,Flying,Status,—,—%,20,Smart,2 ♥♥,Spearow,21
Agility,Psychic,Status,—,—%,30,Cool,2 ♥♥,Spearow,25
Assurance,Dark,Physical,50,100%,10,Beauty,2 ♥♥,Spearow,29
Roost,Flying,Status,—,—%,10,Cool,0,Spearow,33
Drill Peck,Flying,Physical,80,100%,20,Cool,3 ♥♥♥,Spearow,37
Pluck,Flying,Physical,60,100%,20,Cute,0,Fearow,1
Peck,Flying,Physical,35,100%,35,Cool,3 ♥♥♥,Fearow,1
Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,Fearow,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Fearow,1
Fury Attack,Normal,Physical,15,85%,20,Cool,2 ♥♥,Fearow,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Fearow,5
Fury Attack,Normal,Physical,15,85%,20,Cool,2 ♥♥,Fearow,9
Pursuit,Dark,Physical,40,100%,20,Smart,1 ♥,Fearow,13
Aerial Ace,Flying,Physical,60,—%,20,Cool,2 ♥♥,Fearow,17
Mirror Move,Flying,Status,—,—%,20,Smart,2 ♥♥,Fearow,23
Agility,Psychic,Status,—,—%,30,Cool,2 ♥♥,Fearow,29
Assurance,Dark,Physical,50,100%,10,Beauty,2 ♥♥,Fearow,35
Roost,Flying,Status,—,—%,10,Cool,0,Fearow,41
Drill Peck,Flying,Physical,80,100%,20,Cool,3 ♥♥♥,Fearow,47
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Hoothoot,1
Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,Hoothoot,1
Foresight,Normal,Status,—,—%,40,Smart,1 ♥,Hoothoot,5
Hypnosis,Psychic,Status,—,60%,20,Smart,2 ♥♥,Hoothoot,9
Peck,Flying,Physical,35,100%,35,Cool,3 ♥♥♥,Hoothoot,13
Uproar,Normal,Special,50,100%,10,Cute,2 ♥♥,Hoothoot,13
Reflect,Psychic,Status,—,—%,20,Smart,2 ♥♥,Hoothoot,17
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Hoothoot,21
Take Down,Normal,Physical,90,85%,20,Tough,3 ♥♥♥,Hoothoot,25
Air Slash,Flying,Special,75,95%,20,Cool,2 ♥♥,Hoothoot,29
Zen Headbutt,Psychic,Physical,80,90%,15,Beauty,2 ♥♥,Hoothoot,33
Extrasensory,Psychic,Special,80,100%,30,Cool,2 ♥♥,Hoothoot,37
Psycho Shift,Psychic,Status,—,90%,10,Cool,0,Hoothoot,41
Roost,Flying,Status,—,—%,10,Cool,0,Hoothoot,45
Dream Eater,Psychic,Special,100,100%,15,Smart,1 ♥,Hoothoot,49
Sky Attack,Flying,Physical,140,90%,5,Cool,1 ♥,Noctowl,1
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Noctowl,1
Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,Noctowl,1
Foresight,Normal,Status,—,—%,40,Smart,1 ♥,Noctowl,1
Hypnosis,Psychic,Status,—,60%,20,Smart,2 ♥♥,Noctowl,1
Foresight,Normal,Status,—,—%,40,Smart,1 ♥,Noctowl,5
Hypnosis,Psychic,Status,—,60%,20,Smart,2 ♥♥,Noctowl,5
Peck,Flying,Physical,35,100%,35,Cool,3 ♥♥♥,Noctowl,13
Uproar,Normal,Special,50,100%,10,Cute,2 ♥♥,Noctowl,13
Reflect,Psychic,Status,—,—%,20,Smart,2 ♥♥,Noctowl,17
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Noctowl,22
Take Down,Normal,Physical,90,85%,20,Tough,3 ♥♥♥,Noctowl,27
Air Slash,Flying,Special,75,95%,20,Cool,2 ♥♥,Noctowl,32
Zen Headbutt,Psychic,Physical,80,90%,15,Beauty,2 ♥♥,Noctowl,37
Extrasensory,Psychic,Special,80,100%,30,Cool,2 ♥♥,Noctowl,42
Psycho Shift,Psychic,Status,—,90%,10,Cool,0,Noctowl,47
Roost,Flying,Status,—,—%,10,Cool,0,Noctowl,52
Dream Eater,Psychic,Special,100,100%,15,Smart,1 ♥,Noctowl,57
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Rattata,1
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Rattata,1
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Rattata,4
Focus Energy,Normal,Status,—,—%,30,Cool,0,Rattata,7
Bite,Dark,Physical,60,100%,25,Tough,3 ♥♥♥,Rattata,10
Pursuit,Dark,Physical,40,100%,20,Smart,1 ♥,Rattata,13
Hyper Fang,Normal,Physical,80,90%,15,Cool,2 ♥♥,Rattata,16
Sucker Punch,Dark,Physical,80,100%,5,Smart,2 ♥♥,Rattata,19
Crunch,Dark,Physical,80,100%,15,Tough,2 ♥♥,Rattata,22
Assurance,Dark,Physical,50,100%,10,Beauty,2 ♥♥,Rattata,25
Super Fang,Normal,Physical,—,90%,10,Tough,3 ♥♥♥,Rattata,28
Double-Edge,Normal,Physical,120,100%,15,Tough,0,Rattata,31
Endeavor,Normal,Physical,—,100%,5,Tough,2 ♥♥,Rattata,34
Swords Dance,Normal,Status,—,—%,30,Beauty,0,Raticate,1
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Raticate,1
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Raticate,1
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Raticate,1
Focus Energy,Normal,Status,—,—%,30,Cool,0,Raticate,1
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Raticate,4
Focus Energy,Normal,Status,—,—%,30,Cool,0,Raticate,7
Bite,Dark,Physical,60,100%,25,Tough,3 ♥♥♥,Raticate,10
Pursuit,Dark,Physical,40,100%,20,Smart,1 ♥,Raticate,13
Hyper Fang,Normal,Physical,80,90%,15,Cool,2 ♥♥,Raticate,16
Sucker Punch,Dark,Physical,80,100%,5,Smart,2 ♥♥,Raticate,19
Scary Face,Normal,Status,—,90%,10,Tough,2 ♥♥,Raticate,20
Crunch,Dark,Physical,80,100%,15,Tough,2 ♥♥,Raticate,24
Assurance,Dark,Physical,50,100%,10,Beauty,2 ♥♥,Raticate,29
Super Fang,Normal,Physical,—,90%,10,Tough,3 ♥♥♥,Raticate,34
Double-Edge,Normal,Physical,120,100%,15,Tough,0,Raticate,39
Endeavor,Normal,Physical,—,100%,5,Tough,2 ♥♥,Raticate,44
Scratch,Normal,Physical,40,100%,35,Tough,3 ♥♥♥,Sentret,1
Foresight,Normal,Status,—,—%,40,Smart,1 ♥,Sentret,1
Defense Curl,Normal,Status,—,—%,40,Cute,2 ♥♥,Sentret,4
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Sentret,7
Fury Swipes,Normal,Physical,18,80%,15,Tough,2 ♥♥,Sentret,13
Helping Hand,Normal,Status,—,—%,20,Smart,1 ♥,Sentret,16
Follow Me,Normal,Status,—,—%,20,Cute,2 ♥♥,Sentret,19
Slam,Normal,Physical,80,75%,20,Tough,3 ♥♥♥,Sentret,25
Rest,Psychic,Status,—,—%,10,Cute,0,Sentret,28
Sucker Punch,Dark,Physical,80,100%,5,Smart,2 ♥♥,Sentret,31
Amnesia,Psychic,Status,—,—%,20,Cute,0,Sentret,36
Baton Pass,Normal,Status,—,—%,40,Cute,0,Sentret,39
Me First,Normal,Status,—,—%,20,Cute,2 ♥♥,Sentret,42
Hyper Voice,Normal,Special,90,100%,10,Cool,3 ♥♥♥,Sentret,47
Scratch,Normal,Physical,40,100%,35,Tough,3 ♥♥♥,Furret,1
Foresight,Normal,Status,—,—%,40,Smart,1 ♥,Furret,1
Defense Curl,Normal,Status,—,—%,40,Cute,2 ♥♥,Furret,1
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Furret,1
Defense Curl,Normal,Status,—,—%,40,Cute,2 ♥♥,Furret,4
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Furret,7
Fury Swipes,Normal,Physical,18,80%,15,Tough,2 ♥♥,Furret,13
Helping Hand,Normal,Status,—,—%,20,Smart,1 ♥,Furret,17
Follow Me,Normal,Status,—,—%,20,Cute,2 ♥♥,Furret,21
Slam,Normal,Physical,80,75%,20,Tough,3 ♥♥♥,Furret,28
Rest,Psychic,Status,—,—%,10,Cute,0,Furret,32
Sucker Punch,Dark,Physical,80,100%,5,Smart,2 ♥♥,Furret,36
Amnesia,Psychic,Status,—,—%,20,Cute,0,Furret,42
Baton Pass,Normal,Status,—,—%,40,Cute,0,Furret,46
Me First,Normal,Status,—,—%,20,Cute,2 ♥♥,Furret,50
Hyper Voice,Normal,Special,90,100%,10,Cool,3 ♥♥♥,Furret,56
ThunderShock,Electric,Special,40,100%,30,Cool,3 ♥♥♥,Pichu,1
Charm,Normal,Status,—,100%,20,Cute,2 ♥♥,Pichu,1
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Pichu,5
Thunder Wave,Electric,Status,—,100%,20,Cool,2 ♥♥,Pichu,10
Sweet Kiss,Normal,Status,—,75%,10,Cute,2 ♥♥,Pichu,13
Nasty Plot,Dark,Status,—,—%,20,Cute,0,Pichu,18
ThunderShock,Electric,Special,40,100%,30,Cool,3 ♥♥♥,Pikachu,1
Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,Pikachu,1
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Pikachu,5
Thunder Wave,Electric,Status,—,100%,20,Cool,2 ♥♥,Pikachu,10
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Pikachu,13
Double Team,Normal,Status,—,—%,15,Cool,2 ♥♥,Pikachu,18
Slam,Normal,Physical,80,75%,20,Tough,3 ♥♥♥,Pikachu,21
Thunderbolt,Electric,Special,95,100%,15,Cool,2 ♥♥,Pikachu,26
Feint,Normal,Physical,50,100%,10,Beauty,0,Pikachu,29
Agility,Psychic,Status,—,—%,30,Cool,2 ♥♥,Pikachu,34
Discharge,Electric,Special,80,100%,15,Cool,2 ♥♥,Pikachu,37
Light Screen,Psychic,Status,—,—%,30,Beauty,2 ♥♥,Pikachu,42
Thunder,Electric,Special,120,70%,10,Cool,2 ♥♥,Pikachu,45
ThunderShock,Electric,Special,40,100%,30,Cool,3 ♥♥♥,Raichu,1
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Raichu,1
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Raichu,1
Thunderbolt,Electric,Special,95,100%,15,Cool,2 ♥♥,Raichu,1
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Caterpie,1
String Shot,Bug,Status,—,95%,40,Smart,2 ♥♥,Caterpie,1
Bug Bite,Bug,Physical,60,100%,20,Tough,0,Caterpie,15
Harden,Normal,Status,—,—%,30,Tough,2 ♥♥,Metapod,1
Harden,Normal,Status,—,—%,30,Tough,2 ♥♥,Metapod,7
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Butterfree,1
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Butterfree,10
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Butterfree,12
Stun Spore,Grass,Status,—,75%,30,Smart,2 ♥♥,Butterfree,12
Sleep Powder,Grass,Status,—,75%,15,Smart,2 ♥♥,Butterfree,12
Gust,Flying,Special,40,100%,35,Smart,3 ♥♥♥,Butterfree,16
Supersonic,Normal,Status,—,55%,20,Smart,2 ♥♥,Butterfree,18
Whirlwind,Normal,Status,—,100%,20,Smart,0,Butterfree,22
Psybeam,Psychic,Special,65,100%,20,Beauty,2 ♥♥,Butterfree,24
Silver Wind,Bug,Special,60,100%,5,Beauty,2 ♥♥,Butterfree,28
Tailwind,Flying,Status,—,—%,30,Smart,2 ♥♥,Butterfree,30
Safeguard,Normal,Status,—,—%,25,Beauty,2 ♥♥,Butterfree,34
Captivate,Normal,Status,—,100%,20,Beauty,2 ♥♥,Butterfree,36
Bug Buzz,Bug,Special,90,100%,10,Cute,2 ♥♥,Butterfree,40
Poison Sting,Poison,Physical,15,100%,35,Smart,2 ♥♥,Weedle,1
String Shot,Bug,Status,—,95%,40,Smart,2 ♥♥,Weedle,1
Bug Bite,Bug,Physical,60,100%,20,Tough,0,Weedle,15
